query	gene_name	cluster	gene_set	Description
smc1-2	SMC1	pos_with_GAP	histone modification	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure
smc1-259	SMC1	pos_with_GAP	histone modification	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure
smc3-1	SMC3	pos_with_GAP	histone modification	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
smc3-42	SMC3	pos_with_GAP	histone modification	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
swc4-4	SWC4	pos_with_GAP	histone modification	Component of the Swr1p complex that incorporates Htz1p into chromatin; component of the NuA4 histone acetyltransferase complex
swr1	SWR1	pos_with_GAP	histone modification	Swi2/Snf2-related ATPase; structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; relocalizes to the cytosol in response to hypoxia; chronological aging factor that mediates lifespan extension by dietary restriction
taf1-2	TAF1	pos_with_GEF	histone modification	TFIID subunit, involved in RNA pol II transcription initiation; possesses in vitro histone acetyltransferase activity but its role in vivo appears to be minor; involved in promoter binding and G1/S progression; relocalizes to the cytosol in response to hypoxia
vps72	VPS72	mixed	histone modification	Htz1p-binding component of the SWR1 complex; exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; may function as a lock that prevents removal of H2AZ from nucleosomes; required for vacuolar protein sorting
ume6	UME6	pos_with_GAP	histone modification	Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence, represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis
vps71	VPS71	pos_with_GAP	histone modification	Nucleosome-binding component of the SWR1 complex; SWR1 exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting
bre2	BRE2	pos_with_GEF	histone modification	Subunit of COMPASS (Set1C) complex; COMPASS methylates Lys4 of histone H3 and functions in silencing at telomeres; has a C-terminal Sdc1 Dpy-30 Interaction (SDI) domain that mediates binding to Sdc1p; similar to trithorax-group protein ASH2L
cyc8	CYC8	pos_with_GEF	histone modification	General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]
ldb7	LDB7	pos_with_GEF	histone modification	Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions
pho23	PHO23	pos_with_GEF	histone modification	Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3
rxt2	RXT2	pos_with_GEF	histone modification	Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia
rxt3	RXT3	pos_with_GEF	histone modification	Component of the Rpd3L histone deacetylase complex; involved in histone deacetylation; protein abundance increases in response to DNA replication stress
sap30	SAP30	pos_with_GEF	histone modification	Component of Rpd3L histone deacetylase complex; involved in silencing at telomeres, rDNA, and silent mating-type loci; involved in telomere maintenance
sas3	SAS3	pos_with_GEF	histone modification	Histone acetyltransferase catalytic subunit of NuA3 complex; acetylates histone H3, involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal
sds3	SDS3	pos_with_GEF	histone modification	Component of the Rpd3L histone deacetylase complex; required for its structural integrity and catalytic activity, involved in transcriptional silencing and required for sporulation; relocalizes to the cytosol in response to hypoxia; cells defective in SDS3 display pleiotropic phenotypes
taf12-l464a	TAF12	pos_with_GEF	histone modification	Subunit (61/68 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A; overexpression of the human ortholog, TAF12, an oncogene involved in the formation of choroid plexus carcinomas, results in dosage chromosomal instability (dCIN) in a human cell line similar to the dCIN observed in yeast overexpressors
scc2-4	SCC2	pos_with_GAP	cohesin	Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL, the human ortholog of SCC2
scc4-4	SCC4	pos_with_GAP	cohesin	Subunit of cohesin loading factor (Scc2p-Scc4p); complex is required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX
smc1-2	SMC1	pos_with_GAP	cohesin	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure
smc1-259	SMC1	pos_with_GAP	cohesin	Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure
smc3-1	SMC3	pos_with_GAP	cohesin	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
smc3-42	SMC3	pos_with_GAP	cohesin	Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member
mcd1-73	MCD1	pos_with_GAP	cohesin	Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase
smc4-1	SMC4	pos_with_GAP	cohesin	Subunit of the condensin complex; condensin reorganizes chromosomes during both mitosis and meiosis; forms a subcomplex with Smc2p that has ATP-hydrolyzing and DNA-binding activity, but other condensin subunits are required for chromatin binding; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate
irr1-1	IRR1	pos_with_GEF	cohesin	Subunit of the cohesin complex; which is required for sister chromatid cohesion during mitosis and meiosis and interacts with centromeres and chromosome arms; relocalizes to the cytosol in response to hypoxia; essential for viability
hos2	HOS2	pos_with_GAP	Rpd3L	Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex, a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS
ume6	UME6	pos_with_GAP	Rpd3L	Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence, represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis
pho23	PHO23	pos_with_GEF	Rpd3L	Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3
rxt2	RXT2	pos_with_GEF	Rpd3L	Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia
rxt3	RXT3	pos_with_GEF	Rpd3L	Component of the Rpd3L histone deacetylase complex; involved in histone deacetylation; protein abundance increases in response to DNA replication stress
sap30	SAP30	pos_with_GEF	Rpd3L	Component of Rpd3L histone deacetylase complex; involved in silencing at telomeres, rDNA, and silent mating-type loci; involved in telomere maintenance
sds3	SDS3	pos_with_GEF	Rpd3L	Component of the Rpd3L histone deacetylase complex; required for its structural integrity and catalytic activity, involved in transcriptional silencing and required for sporulation; relocalizes to the cytosol in response to hypoxia; cells defective in SDS3 display pleiotropic phenotypes
prp2-1	PRP2	mixed	splicing	RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16
prp22-1	PRP22	mixed	splicing	DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase; associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes; required for proofreading the exon ligation reaction
prp43-ts2	PRP43	mixed	splicing	RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p
snt309	SNT309	mixed	splicing	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; interacts physically and genetically with Prp19p
yhc1-8	YHC1	mixed	splicing	Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site
lsm6	LSM6	pos_with_all	splicing	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
bud13	BUD13	pos_with_GAP	splicing	Subunit of the RES complex; RES complex is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern due to a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids
cwc24-5004	CWC24	pos_with_GAP	splicing	General splicing factor; required for stable U2 snRNP binding to primary transcripts; essential for the first step of splicing; component of the pre-catalytic spliceosome complex containing Cef1p; similar to S. pombe Cwf24p
ist3	IST3	pos_with_GAP	splicing	Component of the U2 snRNP; required for the first catalytic step of splicing and for spliceosomal assembly; interacts with Rds3p and is required for Mer1p-activated splicing; diploid mutants have a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids
lsm1	LSM1	pos_with_GAP	splicing	Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) involved in degradation of cytoplasmic mRNAs; also enters the nucleus and positively regulates transcription initiation; unlike most Sm-like proteins, Lsm1p requires both its SM-domain and C-terminal domain for RNA-binding; binds to mRNAs under glucose starvation, most often in the 3' UTR; forms cytoplasmic foci upon DNA replication stress
lsm2-5001	LSM2	pos_with_GAP	splicing	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
prp11-ts	PRP11	pos_with_GAP	splicing	Subunit of the SF3a splicing factor complex; required for spliceosome assembly
prp18-ts	PRP18	pos_with_GAP	splicing	Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p
prp28-101	PRP28	pos_with_GAP	splicing	RNA binding protein; involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family
prp42-5001	PRP42	mixed	splicing	U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats
prp4-ts	PRP4	pos_with_GAP	splicing	Splicing factor; component of the U4/U6-U5 snRNP complex
slu7-ts2	SLU7	pos_with_GAP	splicing	RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain
yhc1-2	YHC1	pos_with_GAP	splicing	Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site
yhc1-3	YHC1	pos_with_GAP	splicing	Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site
cef1-13	CEF1	pos_with_GEF	splicing	Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p
prp18-1202	PRP18	pos_with_GEF	splicing	Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p
cks1-38	CKS1	pos_with_GAP	proteasome	Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant
rpn11-14	RPN11	mixed	proteasome	Metalloprotease subunit of 19S regulatory particle; part of 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes; protein abundance increases in response to DNA replication stress
rpn12-1	RPN12	pos_with_all	proteasome	Subunit of the 19S regulatory particle of the 26S proteasome lid; synthetically lethal with RPT1, which is an ATPase component of the 19S regulatory particle; physically interacts with Nob1p and Rpn3p; protein abundance increases in response to DNA replication stress
rpn11-8	RPN11	mixed	proteasome	Metalloprotease subunit of 19S regulatory particle; part of 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes; protein abundance increases in response to DNA replication stress
rpn6-1	RPN6	mixed	proteasome	Essential, non-ATPase regulatory subunit of the 26S proteasome lid; required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion; protein abundance increases in response to DNA replication stress
rpt6-20	RPT6	mixed	proteasome	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; bound by ubiquitin-protein ligases Ubr1p and Ufd4p; localized mainly to the nucleus throughout the cell cycle; protein abundance increases in response to DNA replication stress
sem1	SEM1	mixed	proteasome	19S proteasome regulatory particle lid subcomplex component; role in Ub-dependent proteolysis and proteasome stability; involved in TREX-2 mediated mRNA export, and in the prevention of transcription-associated genome instability; ubiquitinated by Nedd4-like E3-ligase, Rsp5p; human ortholog DSS1, a BRCA1 binding protein implicated in cancer, complements the yeast null; drives trinucleotide repeat expansion; protein abundance increases in response to DNA replication stress
pml39	PML39	mixed	mRNA export	Protein required for nuclear retention of unspliced pre-mRNAs; required along with Mlp1p and Pml1p; anchored to nuclear pore complex via Mlp1p and Mlp2p; found with the subset of nuclear pores farthest from the nucleolus; may interact with ribosomes
sub2-1	SUB2	mixed	mRNA export	Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress
dbp5-1	DBP5	pos_with_all	mRNA export	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress
gle1-2	GLE1	pos_with_all	mRNA export	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination
gle1-4	GLE1	pos_with_all	mRNA export	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination
gle2	GLE2	pos_with_all	mRNA export	RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1
mex67-ts5	MEX67	pos_with_all	mRNA export	Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP
sus1	SUS1	pos_with_all	mRNA export	Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP
thp2	THP2	pos_with_all	mRNA export	Subunit of the THO and TREX complexes; THO connects transcription elongation and mitotic recombination, and TREX is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance
sac3	SAC3	pos_with_GAP	mRNA export	mRNA export factor; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP)
tom1	TOM1	mixed	mRNA export	E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase
ccz1	CCZ1	pos_with_GEF	CVT pathway mitochondria and vacuole	Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex, which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy, the CVT pathway and mitophagy
dnm1	DNM1	pos_with_GEF	CVT pathway mitochondria and vacuole	Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and inheritance; self assembles on the cytoplasmic face of mitochondrial tubules at sites where division will occur; participates in endocytosis and regulates peroxisome fission along with Vps1p; mutants in the human ortholog DNM1L, which mediates mitochondrial fission, peroxisomal division, autophagy, and mitophagy, are associated with slowly progressive infantile encephalopathy
fis1	FIS1	pos_with_GEF	CVT pathway mitochondria and vacuole	Protein involved in mitochondrial fission and peroxisome abundance; may have a distinct role in tethering protein aggregates to mitochondria in order to retain them in the mother cell; required for localization of Dnm1p and Mdv1p during mitochondrial division; mediates ethanol-induced apoptosis and ethanol-induced mitochondrial fragmentation
frq1-1	FRQ1	pos_with_GEF	CVT pathway mitochondria and vacuole	N-myristoylated calcium-binding protein; may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily; human NCS1 functionally complements the heat sensitivity of a frq1 ts mutant
lst7	LST7	pos_with_GEF	CVT pathway mitochondria and vacuole	Subunit of the Lst4p-Lst7p GTPase activating protein complex for Gtr2p; stimulates the GTPase activity of Rag family GTPase Gtr2p, within the context of the Gtr1p-Gtr2p heterodimer, after amino acid stimulation; required for activation of TORC1 in response to amino acid stimulation; recruited to the vacuolar membrane during amino acid starvation and released from the membrane by TORC1; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface
mon1	MON1	pos_with_GEF	CVT pathway mitochondria and vacuole	Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; role in localizing Ypt7p to the vacuolar membrane; required for autophagy, the CVT pathway and mitophagy; potential Cdc28 substrate
mpc2	MPC2	pos_with_GEF	CVT pathway mitochondria and vacuole	Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on fermentable carbon sources, and heterodimerizes with Mpc1p to form the fermentative isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC2 paralog, MPC3, heterodimerizes with Mpc1p to form the respiratory MPC isoform
ssa2	SSA2	pos_with_GEF	CVT pathway mitochondria and vacuole	HSP70 family ATP-binding protein; involved in protein folding, vacuolar import of proteins; required for ubiquitin-dependent degradation of short-lived proteins; associated with chaperonin-containing T-complex; 98% identical to paralog Ssa1p with distinct functional specificity in propagation of yeast [URE3] prions and vacuolar-mediated degradation of gluconeogenesis enzymes; binds tRNA, has role in tRNA nuclear import during starvation
ypt10	YPT10	pos_with_GEF	CVT pathway mitochondria and vacuole	Rab family GTP-binding protein; contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles
ypt7	YPT7	pos_with_GEF	CVT pathway mitochondria and vacuole	Rab family GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion; localizes to sites of contact between the vacuole and mitochondria (vCLAMPs); interacts with the cargo selection/retromer complex for retrograde sorting; similar to mammalian Rab7
zrt3	ZRT3	pos_with_GEF	CVT pathway mitochondria and vacuole	Vacuolar membrane zinc transporter; transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency
apq12	APQ12	mixed	nuclear envelope surveillance system	Nuclear envelope/ER integral membrane protein; interacts and functions with Brr6p and Brl1p in lipid homeostasis; mutants are defective in nuclear pore complex biogenesis, nuclear envelope morphology, mRNA export from the nucleus and are sensitive to sterol biosynthesis inhibitors and membrane fluidizing agents; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism
brr6-5001	BRR6	mixed	nuclear envelope surveillance system	Essential nuclear envelope integral membrane protein; interacts and functions with Apq12p and Brl1p in lipid homeostasis; mutants are defective in nuclear pore complex biogenesis, nuclear envelope morphology, mRNA nuclear export, and are sensitive to sterol biosynthesis inhibitors and membrane fluidizing agents; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism; homologous to Brl1p
yjl049w	CHM7	pos_with_all	nuclear envelope surveillance system	Yeast homolog of human CHMP7, localizes to the endoplasmic reticulum presumably as part of an ESCRT-III like complex; null mutant has growth defect at 37 C in an apq12 deletion background; non-essential gene
src1	SRC1	pos_with_all	nuclear envelope surveillance system	Inner nuclear membrane protein; highly enriched at telomeres and subtelomeric regions; functions in regulation of subtelomeric genes and is linked to TREX (transcription export) factors; SRC1 produces 2 splice variant proteins with different functions; alternative splicing of SRC1 pre-mRNA is promoted by Hub1p; mutant has aneuploidy tolerance; SEC1 has a paralog, HEH2, that arose from the whole genome duplication
vps24	VPS24	pos_with_GAP	nuclear envelope surveillance system	One of four subunits of the ESCRT-III complex; forms an endosomal sorting complex required for transport III (ESCRT-III) subcomplex with Did4p; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway
did4	DID4	mixed	nuclear envelope surveillance system	Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis
pab1-5001	PAB1	pos_with_GAP	cleavage and polyadenylation factor	Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex
pab1-5002	PAB1	pos_with_GAP	cleavage and polyadenylation factor	Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex
pti1-ts1	PTI1	mixed	cleavage and polyadenylation factor	Essential component of CPF (cleavage and polyadenylation factor); involved in 3' end formation of snoRNA and mRNA; interacts directly with Pta1p; relocalizes to the cytosol in response to hypoxia; similar to mammalian Cleavage-Stimulation Factor CstF-64
pti1-ts7	PTI1	mixed	cleavage and polyadenylation factor	Essential component of CPF (cleavage and polyadenylation factor); involved in 3' end formation of snoRNA and mRNA; interacts directly with Pta1p; relocalizes to the cytosol in response to hypoxia; similar to mammalian Cleavage-Stimulation Factor CstF-64
rna15-58	RNA15	mixed	cleavage and polyadenylation factor	Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability
ptc1	PTC1	mixed	MAPK HOG pathway	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing, mitochondrial inheritance, and sporulation
nbp2	NBP2	mixed	MAPK HOG pathway	Protein involved in the HOG (high osmolarity glycerol) pathway; negatively regulates Hog1p by recruitment of phosphatase Ptc1p to the Pbs2p-Hog1p complex; interacts with Bck1p and down regulates the cell wall integrity pathway; found in the nucleus and cytoplasm; contains an SH3 domain and a Ptc1p binding domain (PBM)
sho1	SHO1	pos_with_GEF	MAPK HOG pathway	Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p, Msb2p, Hkr1p, and Ste11p
sac7	SAC7	mixed	MAPK HOG pathway	GTPase activating protein (GAP) for Rho1p; regulator of a Tor2p-mediated, Rho1p GTPase switch that controls organization of the actin cytoskeleton; negative regulator of the RHO1-PKC1-MAPK cell integrity (CWI) and membrane fluidity homeostasis signaling pathways; potential Cdc28p substrate; SAC7 has a paralog, BAG7, that arose from the whole genome duplication
cmd1-8	CMD1	pos_with_GEF	MAPK HOG pathway	Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability
